ID,SALARY,SEX,EDUCATION,MARRIAGE,AGE,AVERAGE PAYMENT DELAY,DEFAULT
47,"20,000.00",2,1,2,22,0,1
49,"380,000.00",1,2,2,32,-1,0
50,"20,000.00",1,1,2,24,0,0
51,"70,000.00",1,3,2,42,1,1
53,"310,000.00",2,2,1,49,-2,0
54,"180,000.00",2,1,2,25,1,0
55,"150,000.00",2,1,2,29,2,0
56,"500,000.00",2,1,1,45,-2,0
57,"180,000.00",2,3,1,34,0,0
58,"180,000.00",2,2,1,34,0,0
59,"200,000.00",2,1,2,34,-1,0
60,"400,000.00",2,2,1,29,0,0
61,"500,000.00",2,3,1,28,0,1
62,"70,000.00",1,2,1,39,0,0
63,"50,000.00",1,1,2,29,2,1
64,"50,000.00",2,2,1,46,0,1
65,"130,000.00",2,2,1,51,-1,0
66,"200,000.00",1,1,1,57,-2,1
67,"10,000.00",1,2,1,56,2,1
68,"210,000.00",2,1,2,30,2,0
69,"130,000.00",2,3,2,29,1,0
71,"80,000.00",1,1,2,31,-1,0
72,"320,000.00",1,2,2,29,2,1
73,"200,000.00",2,2,1,32,-1,0
74,"290,000.00",2,1,2,37,1,0
75,"340,000.00",1,1,2,32,-1,0
76,"20,000.00",1,2,2,24,0,0
77,"50,000.00",1,3,2,25,-1,0
78,"300,000.00",2,1,1,45,-1,0
79,"30,000.00",2,2,2,22,0,1
80,"240,000.00",2,2,2,44,1,1
82,"360,000.00",2,1,2,26,0,0
83,"60,000.00",1,3,2,30,0,1
84,"400,000.00",2,2,1,44,0,0
85,"50,000.00",2,3,2,49,0,0
86,"160,000.00",1,2,2,33,0,0
87,"360,000.00",2,1,1,45,-1,1
88,"160,000.00",2,2,2,32,0,0
89,"130,000.00",2,1,1,35,0,0
90,"20,000.00",1,3,2,44,2,0
91,"200,000.00",1,1,1,53,2,1
92,"280,000.00",2,1,2,39,-1,0
93,"100,000.00",2,1,2,27,-2,0
94,"160,000.00",2,2,1,37,-1,0
95,"60,000.00",2,2,2,23,0,0
96,"90,000.00",1,2,2,35,0,0
97,"360,000.00",1,1,1,43,-1,0
98,"150,000.00",1,1,2,27,0,0
99,"50,000.00",2,3,1,22,0,0
100,"20,000.00",1,2,1,38,0,1
101,"140,000.00",1,1,2,32,-2,0
102,"380,000.00",2,1,2,30,-2,0
103,"480,000.00",1,1,1,63,0,0
104,"50,000.00",2,3,2,22,0,1
105,"60,000.00",2,2,2,26,2,0
106,"70,000.00",2,2,2,24,-1,0
107,"80,000.00",2,2,1,36,-1,0
108,"350,000.00",1,1,2,52,-1,0
109,"130,000.00",1,2,2,38,0,0
110,"360,000.00",1,2,1,35,1,0
111,"330,000.00",2,1,1,31,0,0
112,"50,000.00",1,3,1,47,0,0
113,"280,000.00",1,2,1,41,2,0
114,"100,000.00",2,1,2,24,0,0
115,"50,000.00",1,2,2,41,0,0
116,"30,000.00",1,1,2,24,-1,1
117,"240,000.00",1,1,2,28,-1,0
118,"80,000.00",1,2,2,26,2,1
119,"400,000.00",1,2,1,34,-1,0
120,"240,000.00",2,2,2,38,0,0
121,"50,000.00",1,3,2,37,2,1
122,"450,000.00",1,1,1,40,1,1
123,"110,000.00",2,1,1,48,1,0
124,"310,000.00",2,2,1,35,2,1
125,"20,000.00",1,1,2,27,0,0
126,"20,000.00",1,2,2,23,1,0
127,"200,000.00",1,3,2,52,0,0
128,"180,000.00",1,1,1,36,0,1
129,"50,000.00",1,2,1,51,0,1
130,"60,000.00",1,3,1,55,3,0
131,"30,000.00",2,1,2,23,1,0
132,"240,000.00",1,1,2,41,1,0
133,"420,000.00",1,2,1,34,0,0
134,"330,000.00",1,3,1,46,0,0
135,"30,000.00",2,2,2,22,0,0
136,"240,000.00",1,2,1,34,0,0
137,"150,000.00",1,1,2,27,0,0
138,"210,000.00",2,2,1,33,0,0
139,"50,000.00",2,3,1,51,-1,1
140,"50,000.00",1,1,2,24,0,0
141,"240,000.00",1,1,2,47,1,1
142,"180,000.00",1,2,2,28,-1,0
143,"50,000.00",1,2,2,23,1,0
144,"170,000.00",1,2,2,29,-2,0
145,"20,000.00",1,1,2,29,-1,0
146,"50,000.00",1,1,2,28,0,0
147,"170,000.00",2,2,2,27,0,1
148,"200,000.00",1,1,2,34,1,0
149,"80,000.00",2,2,1,23,1,0
150,"260,000.00",2,1,1,60,1,0
151,"140,000.00",1,2,1,32,0,0
152,"80,000.00",1,1,2,25,0,0
153,"350,000.00",1,1,2,41,1,0
154,"280,000.00",2,2,1,56,0,0
155,"30,000.00",2,3,2,26,0,0
156,"140,000.00",1,1,1,34,0,0
157,"200,000.00",2,1,2,37,0,0
158,"200,000.00",2,3,2,30,0,0
159,"210,000.00",1,3,1,45,2,1
160,"50,000.00",1,3,1,57,3,0
161,"30,000.00",1,1,2,41,2,0
162,"50,000.00",1,2,2,27,2,0
163,"290,000.00",1,3,1,47,-1,0
164,"250,000.00",2,1,1,34,0,0
165,"60,000.00",2,2,1,46,0,0
166,"110,000.00",2,1,2,27,0,0
167,"370,000.00",1,1,2,50,-2,0
168,"100,000.00",1,2,1,27,-1,0
169,"90,000.00",2,2,1,35,0,0
170,"50,000.00",2,2,2,22,0,0
171,"270,000.00",1,2,2,37,0,0
172,"300,000.00",2,1,2,30,-1,0
173,"50,000.00",2,2,2,22,-1,0
174,"50,000.00",2,1,2,24,1,1
175,"360,000.00",1,1,2,29,1,0
176,"130,000.00",1,3,1,56,1,1
177,"80,000.00",1,1,2,30,-2,0
178,"50,000.00",1,2,2,30,1,0
179,"20,000.00",2,2,2,22,0,0
180,"80,000.00",2,2,1,29,0,0
181,"240,000.00",1,1,2,37,-1,0
182,"80,000.00",2,3,2,35,0,0
183,"500,000.00",2,1,1,47,0,0
184,"60,000.00",2,2,1,24,0,1
185,"20,000.00",1,2,2,25,0,0
186,"100,000.00",2,2,1,38,1,1
187,"360,000.00",2,1,2,32,1,0
188,"200,000.00",2,3,2,47,2,1
189,"130,000.00",2,2,1,34,1,0
190,"20,000.00",2,2,2,31,1,0
191,"310,000.00",1,1,2,32,0,0
192,"60,000.00",2,1,2,27,2,1
193,"180,000.00",2,1,2,29,-1,0
194,"180,000.00",2,1,2,24,-1,0
195,"50,000.00",1,2,1,36,0,0
196,"50,000.00",2,1,2,24,1,1
197,"150,000.00",2,2,1,34,-2,0
198,"20,000.00",2,1,2,22,0,0
199,"500,000.00",2,1,1,34,-2,0
200,"30,000.00",2,3,2,22,1,1
201,"180,000.00",2,1,1,38,-2,0
202,"140,000.00",1,1,2,31,0,0
203,"140,000.00",2,1,2,26,-1,0
204,"120,000.00",1,2,2,26,0,0
205,"360,000.00",2,2,1,48,0,0
206,"20,000.00",1,3,1,43,-1,0
207,"100,000.00",1,1,1,47,-1,0
208,"210,000.00",2,2,1,41,-1,1
209,"80,000.00",2,2,2,24,0,1
210,"330,000.00",2,1,1,50,-1,0
211,"220,000.00",1,1,2,24,0,0
212,"210,000.00",2,1,1,38,1,1
213,"40,000.00",2,3,1,43,0,0
214,"30,000.00",1,2,2,39,0,0
215,"470,000.00",1,2,2,27,2,0
216,"30,000.00",1,3,1,42,-1,0
217,"240,000.00",2,2,1,36,1,1
218,"80,000.00",1,2,2,36,2,0
220,"310,000.00",2,1,2,38,-1,0
221,"360,000.00",2,1,1,40,2,1
222,"330,000.00",2,3,2,45,0,0
223,"300,000.00",2,2,2,35,0,0
224,"320,000.00",2,2,2,33,0,0
225,"50,000.00",2,3,2,37,1,1
226,"170,000.00",2,1,2,28,0,0
227,"350,000.00",1,3,1,44,-1,0
228,"20,000.00",1,2,1,37,0,0
229,"50,000.00",1,2,2,23,2,1
230,"20,000.00",2,3,2,24,1,0
231,"50,000.00",2,1,2,24,0,0
232,"20,000.00",1,2,2,23,1,1
233,"50,000.00",1,2,1,26,0,0
234,"190,000.00",1,2,2,34,2,1
235,"60,000.00",2,2,1,33,0,0
236,"80,000.00",1,1,2,35,-1,0
237,"150,000.00",2,2,2,27,0,0
238,"210,000.00",2,1,2,31,-2,0
239,"240,000.00",2,3,1,50,0,1
241,"60,000.00",2,1,2,28,1,0
242,"50,000.00",1,1,2,39,0,0
243,"50,000.00",2,2,2,27,0,0
244,"180,000.00",2,1,2,32,-1,0
245,"30,000.00",2,1,2,40,-1,0
246,"20,000.00",2,2,2,40,0,0
247,"250,000.00",2,2,1,75,0,0
248,"100,000.00",2,2,2,27,0,0
249,"330,000.00",1,1,2,25,0,0
250,"50,000.00",1,3,1,46,0,0
251,"50,000.00",2,2,2,26,1,0
252,"30,000.00",1,2,2,28,0,0
253,"140,000.00",2,2,2,26,0,1
254,"160,000.00",2,1,2,28,0,0
255,"400,000.00",2,2,2,29,-1,0
256,"50,000.00",1,2,1,25,0,0
257,"140,000.00",2,2,1,48,0,0
258,"160,000.00",2,2,1,33,-1,0
259,"100,000.00",2,3,1,43,0,0
260,"220,000.00",1,1,1,48,2,1
261,"510,000.00",2,1,2,29,0,0
262,"50,000.00",1,2,2,29,0,0
263,"160,000.00",2,1,1,38,-1,0
264,"230,000.00",2,1,2,37,-2,0
265,"80,000.00",2,1,2,37,-1,0
266,"150,000.00",2,2,1,25,-1,0
267,"10,000.00",1,3,2,23,0,0
268,"130,000.00",2,3,2,49,0,1
269,"40,000.00",2,1,2,48,0,0
270,"50,000.00",1,2,2,27,3,1
271,"100,000.00",1,3,2,32,0,0
272,"120,000.00",1,1,1,34,-1,0
273,"260,000.00",2,1,2,58,1,1
274,"200,000.00",2,2,2,33,0,0
275,"360,000.00",2,2,2,28,-2,1
276,"70,000.00",2,2,2,36,0,0
277,"460,000.00",1,1,1,40,2,1
278,"50,000.00",2,1,2,26,-1,0
279,"50,000.00",1,3,1,33,0,0
280,"250,000.00",2,2,1,31,0,0
281,"30,000.00",2,1,2,27,0,0
282,"270,000.00",1,2,1,44,0,0
283,"180,000.00",2,3,2,30,0,0
284,"100,000.00",2,1,2,28,0,0
285,"230,000.00",2,3,1,32,0,0
286,"210,000.00",2,1,1,46,-1,0
287,"210,000.00",1,1,2,38,2,0
288,"440,000.00",2,2,1,46,0,0
289,"100,000.00",2,2,2,25,2,1
290,"240,000.00",2,2,1,46,0,0
291,"280,000.00",1,1,2,33,-1,1
292,"50,000.00",2,2,2,22,1,1
293,"30,000.00",1,2,1,43,3,0
294,"10,000.00",1,2,2,27,0,1
295,"130,000.00",1,1,2,29,1,0
296,"200,000.00",1,1,2,31,0,0
297,"120,000.00",2,2,1,29,-1,0
298,"210,000.00",2,2,1,36,0,0
299,"280,000.00",2,1,1,36,0,0
300,"300,000.00",1,1,2,34,1,1
301,"100,000.00",1,2,2,37,0,0
302,"440,000.00",2,1,2,36,-2,0
303,"50,000.00",2,3,1,40,0,0
304,"20,000.00",2,1,2,25,0,1
305,"200,000.00",2,1,2,27,-1,0
306,"110,000.00",2,2,2,26,-2,0
307,"500,000.00",2,2,1,36,-1,0
308,"300,000.00",2,2,1,27,1,0
309,"30,000.00",1,3,1,55,2,1
310,"60,000.00",2,1,2,27,-1,0
311,"400,000.00",2,2,1,38,-1,0
312,"180,000.00",2,2,1,34,0,0
313,"20,000.00",1,1,2,40,0,0
314,"200,000.00",2,3,1,49,-1,1
315,"100,000.00",1,1,2,27,0,0
316,"60,000.00",1,2,2,23,0,1
317,"110,000.00",2,2,2,36,0,0
318,"260,000.00",2,3,1,53,1,0
319,"50,000.00",2,3,1,46,3,0
320,"180,000.00",1,2,2,29,1,0
321,"110,000.00",1,2,2,29,1,1
322,"340,000.00",2,1,2,27,0,0
323,"50,000.00",1,2,2,24,-1,0
324,"230,000.00",2,2,1,28,0,1
325,"360,000.00",2,2,2,32,0,0
326,"210,000.00",1,2,2,43,1,0
327,"220,000.00",2,2,1,41,-1,1
328,"60,000.00",2,2,1,34,2,1
329,"340,000.00",1,2,1,55,-2,0
330,"150,000.00",1,1,1,40,2,0
331,"200,000.00",2,2,1,37,1,1
332,"130,000.00",2,2,2,40,0,1
333,"60,000.00",2,1,2,28,1,0
334,"400,000.00",2,2,1,43,1,0
335,"20,000.00",1,1,2,27,0,0
336,"190,000.00",2,1,2,28,0,0
337,"260,000.00",2,1,2,30,0,0
338,"140,000.00",2,2,2,31,-2,0
339,"50,000.00",2,2,1,31,0,1
340,"120,000.00",2,1,2,34,-1,0
341,"240,000.00",2,2,2,30,-2,0
342,"50,000.00",1,2,2,36,0,0
343,"200,000.00",2,1,2,29,-1,0
344,"180,000.00",1,1,1,39,0,0
345,"180,000.00",2,1,2,26,0,0
346,"160,000.00",2,1,2,29,-1,0
347,"100,000.00",2,2,2,26,-1,0
348,"50,000.00",2,2,2,29,0,1
349,"140,000.00",2,2,2,31,0,0
350,"30,000.00",2,2,2,26,0,1
351,"90,000.00",1,1,2,26,0,0
352,"200,000.00",1,1,1,36,1,0
353,"380,000.00",1,1,2,30,1,1
354,"80,000.00",2,2,2,43,0,0
355,"50,000.00",1,3,1,58,2,0
356,"180,000.00",1,2,1,45,-1,1
357,"240,000.00",2,2,2,26,0,0
358,"380,000.00",1,2,2,34,0,0
360,"260,000.00",1,1,1,34,-1,0
361,"500,000.00",2,2,2,23,4,1
362,"320,000.00",2,2,2,30,0,0
363,"50,000.00",1,2,2,32,4,0
364,"110,000.00",1,1,1,40,1,1
365,"230,000.00",2,1,2,35,-2,0
366,"330,000.00",2,2,1,56,1,0
367,"50,000.00",2,2,1,61,0,0
368,"10,000.00",1,2,2,24,-1,0
369,"300,000.00",1,1,1,40,1,0
370,"20,000.00",2,2,1,32,3,1
371,"180,000.00",1,2,1,36,2,1
372,"160,000.00",1,1,2,30,-1,0
373,"90,000.00",2,1,2,34,0,0
375,"180,000.00",1,1,1,46,0,0
376,"30,000.00",1,3,1,58,0,0
377,"30,000.00",1,2,1,43,1,0
378,"140,000.00",2,1,2,28,-1,0
379,"210,000.00",1,1,2,30,0,0
380,"50,000.00",1,2,2,31,0,1
381,"130,000.00",2,2,2,29,0,0
382,"50,000.00",2,2,1,37,2,1
383,"140,000.00",1,3,1,36,0,0
384,"170,000.00",2,2,2,28,-1,1
385,"80,000.00",1,2,2,25,0,0
387,"80,000.00",2,1,2,29,1,0
388,"80,000.00",1,3,1,73,-1,1
389,"150,000.00",1,2,1,43,0,0
390,"260,000.00",1,1,1,30,-1,1
391,"350,000.00",1,1,1,38,1,0
392,"280,000.00",2,2,1,39,1,1
393,"310,000.00",1,2,1,44,0,0
394,"140,000.00",2,2,2,29,0,0
395,"360,000.00",1,1,1,51,-1,0
396,"140,000.00",2,1,2,27,0,0
397,"100,000.00",1,1,2,38,0,0
398,"50,000.00",2,2,2,22,-2,0
399,"210,000.00",2,2,1,30,0,0
400,"120,000.00",2,2,2,25,2,0
401,"240,000.00",1,1,2,29,0,0
403,"150,000.00",1,1,2,41,-1,1
404,"30,000.00",1,2,1,48,0,0
405,"160,000.00",2,1,2,29,2,1
406,"200,000.00",1,1,1,52,-2,0
407,"120,000.00",2,2,1,25,0,0
408,"500,000.00",1,1,1,37,1,0
409,"320,000.00",2,1,2,27,0,0
410,"280,000.00",1,1,2,31,0,0
411,"60,000.00",2,1,2,23,1,1
412,"200,000.00",2,1,1,38,-1,0
413,"230,000.00",2,1,1,32,1,0
414,"230,000.00",2,2,2,27,1,1
415,"480,000.00",2,3,1,41,-2,0
416,"50,000.00",2,3,1,35,-1,0
417,"200,000.00",2,1,2,31,-2,0
418,"50,000.00",2,1,2,30,0,0
419,"50,000.00",1,2,1,48,0,0
420,"260,000.00",2,1,2,36,1,1
421,"30,000.00",1,1,2,24,2,0
422,"440,000.00",2,1,2,29,0,0
423,"230,000.00",2,2,2,38,-1,0
424,"200,000.00",1,2,1,38,2,1
425,"490,000.00",2,2,1,30,0,0
426,"80,000.00",2,2,1,32,-1,0
427,"20,000.00",2,3,2,49,2,1
428,"170,000.00",2,1,2,31,-1,1
429,"70,000.00",1,1,2,27,0,0
430,"210,000.00",2,2,2,33,0,0
431,"90,000.00",2,2,2,25,0,0
432,"390,000.00",2,1,2,27,0,1
433,"110,000.00",2,1,2,29,0,0
434,"580,000.00",2,1,1,36,0,0
435,"360,000.00",1,3,1,55,0,0
436,"270,000.00",2,2,1,32,1,1
437,"60,000.00",2,1,2,27,-1,0
438,"110,000.00",1,3,1,37,0,0
439,"50,000.00",2,1,1,25,0,0
440,"80,000.00",2,1,2,23,0,1
441,"50,000.00",1,2,2,23,-1,0
442,"100,000.00",1,1,2,32,0,0
443,"30,000.00",2,1,2,26,1,0
444,"200,000.00",2,1,2,27,0,0
445,"240,000.00",1,1,2,44,0,1
446,"220,000.00",1,2,2,34,0,0
447,"160,000.00",2,1,2,28,0,0
448,"180,000.00",2,1,1,53,-1,0
450,"140,000.00",2,3,1,30,0,0
451,"380,000.00",1,1,1,51,1,1
452,"600,000.00",1,1,1,53,2,1
453,"260,000.00",1,2,2,37,0,0
454,"200,000.00",2,1,2,26,0,0
455,"80,000.00",1,2,2,42,0,0
456,"40,000.00",1,2,2,39,0,0
457,"130,000.00",1,3,2,39,1,0
458,"50,000.00",1,1,2,32,-1,0
459,"230,000.00",2,2,1,41,-1,0
460,"70,000.00",1,2,1,48,0,1
461,"180,000.00",2,2,1,38,0,0
462,"80,000.00",2,2,1,36,-1,0
463,"290,000.00",2,2,2,26,0,0
464,"230,000.00",2,1,2,28,0,0
466,"230,000.00",1,1,1,59,-1,1
467,"220,000.00",1,1,2,38,0,1
468,"230,000.00",1,2,2,32,0,0
469,"500,000.00",1,2,1,38,0,0
470,"90,000.00",2,1,1,41,-1,0
471,"390,000.00",2,3,2,35,0,1
472,"400,000.00",2,2,2,41,0,0
473,"180,000.00",1,2,1,34,-1,0
474,"60,000.00",1,3,1,38,1,0
475,"120,000.00",2,2,1,32,-1,0
476,"60,000.00",2,2,2,29,0,0
477,"50,000.00",1,1,2,44,0,0
478,"70,000.00",2,2,1,37,0,0
479,"500,000.00",2,1,1,38,-1,0
480,"200,000.00",1,1,2,31,-2,0
481,"250,000.00",2,2,1,40,0,0
482,"140,000.00",1,2,2,26,0,1
483,"70,000.00",2,2,2,28,0,0
484,"90,000.00",1,3,1,48,1,0
485,"100,000.00",2,2,1,43,-1,0
486,"190,000.00",1,2,1,31,0,0
487,"230,000.00",2,1,1,42,-1,0
488,"320,000.00",1,2,1,39,0,0
489,"220,000.00",2,2,1,36,-1,1
490,"260,000.00",2,1,1,34,-1,0
491,"90,000.00",2,2,2,32,-2,0
492,"30,000.00",2,2,1,43,2,0
493,"260,000.00",1,2,2,30,0,0
494,"170,000.00",2,2,2,28,0,0
495,"80,000.00",2,1,1,28,0,1
496,"50,000.00",1,1,1,41,-1,0
497,"200,000.00",2,3,2,47,0,0
498,"20,000.00",1,2,2,23,0,0
499,"250,000.00",2,1,1,49,-1,0
500,"20,000.00",1,1,1,38,0,0
501,"30,000.00",2,2,1,38,0,0
502,"90,000.00",2,2,1,35,1,0
504,"130,000.00",2,1,1,33,0,1
506,"160,000.00",1,1,2,35,-1,0
507,"500,000.00",2,2,2,43,-1,0
508,"180,000.00",2,2,2,28,0,0
509,"80,000.00",2,2,1,30,0,0
510,"120,000.00",1,1,2,26,-1,0
511,"130,000.00",1,2,1,31,-1,0
512,"120,000.00",2,2,2,35,-1,1
513,"360,000.00",1,1,2,28,-1,0
514,"50,000.00",1,2,2,23,2,1
515,"20,000.00",2,2,2,23,0,0
516,"100,000.00",1,3,1,56,0,0
517,"70,000.00",1,3,1,32,0,0
518,"50,000.00",1,2,1,47,0,0
519,"10,000.00",2,2,2,22,1,0
520,"290,000.00",2,1,1,34,0,0
521,"30,000.00",2,1,1,31,0,0
522,"410,000.00",2,2,2,27,1,0
523,"360,000.00",1,1,2,28,-1,1
524,"140,000.00",2,2,1,42,0,1
525,"210,000.00",2,1,2,32,0,0
526,"220,000.00",2,2,2,27,-1,0
527,"20,000.00",1,2,2,27,1,0
528,"620,000.00",2,2,1,45,2,1
529,"360,000.00",1,1,2,26,1,0
530,"20,000.00",2,2,2,21,-1,0
531,"50,000.00",1,2,2,23,0,0
533,"10,000.00",1,2,2,46,0,1
534,"100,000.00",2,3,1,50,2,1
535,"50,000.00",1,1,2,26,-2,0
536,"60,000.00",1,2,2,25,-1,0
537,"440,000.00",2,1,2,35,0,0
538,"120,000.00",1,2,1,44,0,0
539,"50,000.00",2,1,2,52,0,0
540,"110,000.00",2,2,1,40,1,0
541,"200,000.00",2,1,2,38,-1,0
542,"150,000.00",2,1,2,28,1,0
543,"30,000.00",2,2,1,36,2,1
544,"100,000.00",2,1,2,24,0,0
545,"360,000.00",2,1,1,34,-1,0
546,"390,000.00",2,1,2,31,0,0
547,"220,000.00",2,1,1,41,1,1
548,"160,000.00",2,2,2,25,-2,0
549,"230,000.00",2,1,2,28,-1,0
550,"120,000.00",1,1,2,27,0,0
551,"100,000.00",1,3,1,52,0,1
552,"190,000.00",2,1,2,41,-1,1
553,"50,000.00",1,1,1,56,0,1
554,"240,000.00",2,1,1,42,1,0
555,"40,000.00",2,2,2,24,-2,0
556,"630,000.00",2,2,1,47,0,0
557,"160,000.00",2,1,1,33,-2,0
558,"110,000.00",2,2,2,32,0,0
559,"20,000.00",1,2,2,29,0,0
560,"210,000.00",2,3,1,53,0,0
561,"270,000.00",1,1,2,34,-1,0
562,"360,000.00",2,2,2,52,-2,0
563,"60,000.00",2,2,1,42,-1,0
564,"360,000.00",1,2,2,38,-1,0
565,"390,000.00",2,1,2,45,2,0
566,"250,000.00",2,3,2,35,-2,0
567,"90,000.00",2,1,2,24,0,1
568,"360,000.00",1,1,2,28,-1,0
569,"50,000.00",1,3,2,26,0,0
570,"270,000.00",2,1,1,40,0,0
571,"200,000.00",2,1,2,29,1,0
572,"50,000.00",2,2,2,23,0,0
573,"350,000.00",1,1,2,33,-1,0
574,"160,000.00",2,2,2,60,-2,1
575,"80,000.00",2,3,1,49,-1,0
576,"290,000.00",1,1,1,53,2,1
577,"270,000.00",2,1,2,28,-1,0
578,"80,000.00",1,1,2,31,-1,0
579,"50,000.00",1,2,2,36,0,0
580,"30,000.00",1,2,1,35,-2,0
581,"30,000.00",1,2,2,28,1,1
582,"90,000.00",1,2,2,33,-1,0
583,"160,000.00",1,1,2,26,-1,0
584,"80,000.00",2,3,2,53,0,0
585,"50,000.00",1,2,2,42,0,0
586,"20,000.00",2,1,2,25,0,0
587,"220,000.00",1,1,1,43,1,1
588,"210,000.00",1,3,2,25,-1,1
589,"130,000.00",2,2,2,29,0,0
590,"260,000.00",2,2,1,31,-1,0
591,"230,000.00",2,1,1,30,0,0
592,"160,000.00",1,1,2,34,0,0
593,"50,000.00",1,1,1,35,0,0
594,"80,000.00",1,2,1,32,0,0
595,"110,000.00",1,3,2,46,0,0
596,"200,000.00",1,1,1,43,0,0
597,"360,000.00",1,2,2,29,0,0
598,"210,000.00",2,3,2,31,1,0
599,"80,000.00",2,2,2,24,2,0
600,"300,000.00",2,2,1,36,-1,1
601,"310,000.00",2,2,1,43,0,0
602,"30,000.00",1,3,1,59,-1,1
603,"170,000.00",1,1,1,53,0,0
604,"140,000.00",2,2,2,28,2,0
605,"180,000.00",2,2,2,31,1,0
606,"50,000.00",1,1,2,34,1,0
607,"50,000.00",2,2,1,36,0,0
608,"110,000.00",2,1,2,24,0,0
609,"450,000.00",2,3,1,36,-2,0
610,"200,000.00",2,2,1,34,-1,0
611,"220,000.00",1,1,2,43,0,0
612,"360,000.00",2,1,2,29,0,1
613,"50,000.00",1,2,1,37,0,0
614,"40,000.00",1,2,2,23,2,0
615,"190,000.00",2,2,1,37,1,0
616,"150,000.00",1,1,2,33,0,0
617,"200,000.00",2,1,1,37,1,0
618,"270,000.00",2,2,1,56,0,0
619,"60,000.00",1,1,2,25,0,0
620,"200,000.00",2,2,1,39,0,0
621,"150,000.00",2,2,1,39,0,0
622,"180,000.00",2,2,2,28,-1,0
623,"90,000.00",2,1,2,27,0,0
624,"360,000.00",2,2,1,37,1,0
625,"90,000.00",2,1,2,24,-1,0
626,"20,000.00",2,2,2,24,0,0
627,"70,000.00",1,1,1,46,0,0
628,"230,000.00",1,1,1,39,-1,0
629,"30,000.00",1,3,1,48,0,0
631,"100,000.00",1,3,2,49,-1,0
632,"50,000.00",2,2,2,23,0,0
633,"20,000.00",2,3,1,25,0,0
634,"210,000.00",2,2,1,47,-2,0
635,"110,000.00",1,3,1,56,0,0
636,"20,000.00",2,3,1,44,-1,0
637,"50,000.00",2,3,1,49,0,0
638,"50,000.00",1,2,1,41,0,0
639,"400,000.00",2,1,2,40,-1,0
640,"170,000.00",1,2,2,31,0,0
641,"280,000.00",1,2,1,42,0,0
642,"130,000.00",2,3,1,28,0,0
643,"210,000.00",2,2,2,32,0,0
644,"370,000.00",1,2,2,28,0,0
645,"30,000.00",2,2,1,31,0,0
646,"150,000.00",1,3,2,39,1,0
647,"60,000.00",1,3,1,31,2,1
648,"80,000.00",2,2,2,24,0,0
649,"280,000.00",2,2,1,44,2,1
650,"20,000.00",2,2,2,46,8,0
651,"270,000.00",1,1,2,32,-2,0
652,"240,000.00",2,2,2,26,0,0
653,"20,000.00",2,1,2,22,0,0
654,"450,000.00",2,1,1,42,1,1
655,"10,000.00",1,2,2,33,0,0
656,"280,000.00",1,2,1,39,-2,1
657,"290,000.00",2,3,2,27,0,0
658,"190,000.00",2,1,2,28,0,1
659,"80,000.00",2,1,2,23,0,0
660,"280,000.00",2,2,2,28,-1,0
661,"160,000.00",2,1,1,33,-2,0
662,"90,000.00",1,2,1,40,0,1
663,"140,000.00",2,1,2,37,-1,0
664,"50,000.00",1,1,2,22,0,0
665,"40,000.00",2,2,1,32,0,0
666,"130,000.00",2,3,1,43,0,0
667,"70,000.00",2,3,1,27,0,0
668,"30,000.00",2,2,1,35,0,0
669,"100,000.00",2,3,1,35,1,0
